2024-04-04 18:10:24,592 [INFO] You choosed the auto mode!
2024-04-04 18:10:32,010 [INFO] Creating links..
2024-04-04 18:10:32,010 [INFO] ..links creation done!
2024-04-04 18:10:32,129 [INFO] 185: {'endpoints': [88, 104], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,129 [INFO] 186: {'endpoints': [104, 105], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,130 [INFO] 187: {'endpoints': [89, 105], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,130 [INFO] 188: {'endpoints': [105, 106], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,131 [INFO] 189: {'endpoints': [90, 106], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,131 [INFO] 190: {'endpoints': [106, 107], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,132 [INFO] 191: {'endpoints': [91, 107], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,132 [INFO] 192: {'endpoints': [107, 108], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,133 [INFO] 193: {'endpoints': [92, 108], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,134 [INFO] 194: {'endpoints': [108, 109], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,134 [INFO] 195: {'endpoints': [93, 109], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,134 [INFO] 196: {'endpoints': [109, 110], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,135 [INFO] 197: {'endpoints': [94, 110], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,135 [INFO] 198: {'endpoints': [110, 111], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,136 [INFO] 199: {'endpoints': [95, 111], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,136 [INFO] 200: {'endpoints': [111, 112], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,136 [INFO] 201: {'endpoints': [96, 112], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,137 [INFO] 202: {'endpoints': [97, 113], 'capacity': 10, 'trafficPerc': 0}
