2024-03-14 16:50:42,835 [INFO] Loading files..
2024-03-14 16:50:42,851 [INFO] Loading network file..
2024-03-14 16:50:42,888 [INFO] ..done!
2024-03-14 16:50:42,890 [INFO] Loading packets file..
2024-03-14 16:50:49,656 [INFO] ..done!
2024-03-14 16:50:49,656 [INFO] Analyzing files..
2024-03-14 16:50:49,656 [INFO] Simulation parameters:
2024-03-14 16:50:49,656 [INFO] {'graphType': 'graph', 'isCustom': True, 'linkCap': None, 'simTime': 4, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-03-14 16:50:49,694 [DEBUG] UpdateDeltaTraffic sums:
2024-03-14 16:50:49,862 [DEBUG] updateTime: 2024-01-01 00:00:02.600000, packets sum: 26248
2024-03-14 16:50:49,863 [DEBUG] updateTime: 2024-01-01 00:00:02.700000, packets sum: 26248
2024-03-14 16:50:49,863 [DEBUG] updateTime: 2024-01-01 00:00:02.800000, packets sum: 26248
2024-03-14 16:50:49,864 [DEBUG] updateTime: 2024-01-01 00:00:02.900000, packets sum: 26248
2024-03-14 16:50:49,864 [DEBUG] updateTime: 2024-01-01 00:00:03, packets sum: 26248
2024-03-14 16:50:49,865 [DEBUG] updateTime: 2024-01-01 00:00:03.100000, packets sum: 50000
2024-03-14 16:50:49,866 [DEBUG] updateTime: 2024-01-01 00:00:03.200000, packets sum: 50000
2024-03-14 16:50:49,866 [DEBUG] updateTime: 2024-01-01 00:00:03.300000, packets sum: 50000
2024-03-14 16:50:49,867 [DEBUG] updateTime: 2024-01-01 00:00:03.400000, packets sum: 50000
2024-03-14 16:50:49,868 [DEBUG] updateTime: 2024-01-01 00:00:03.500000, packets sum: 50000
2024-03-14 16:50:49,869 [DEBUG] updateTime: 2024-01-01 00:00:03.600000, packets sum: 50000
2024-03-14 16:50:49,870 [DEBUG] updateTime: 2024-01-01 00:00:03.700000, packets sum: 50000
2024-03-14 16:50:49,871 [DEBUG] updateTime: 2024-01-01 00:00:03.800000, packets sum: 50000
2024-03-14 16:50:49,871 [DEBUG] updateTime: 2024-01-01 00:00:03.900000, packets sum: 50000
2024-03-14 16:50:49,872 [DEBUG] updateTime: 2024-01-01 00:00:04, packets sum: 50000
2024-03-14 16:50:49,873 [DEBUG] link: frozenset({8, 2})
2024-03-14 16:50:49,876 [DEBUG] updateTime: 2024-01-01 00:00:00.100000, packets sum: 37500
2024-03-14 16:50:49,877 [DEBUG] updateTime: 2024-01-01 00:00:00.200000, packets sum: 37500
2024-03-14 16:50:49,878 [DEBUG] updateTime: 2024-01-01 00:00:00.300000, packets sum: 37500
2024-03-14 16:50:49,878 [DEBUG] updateTime: 2024-01-01 00:00:00.400000, packets sum: 37500
2024-03-14 16:50:49,879 [DEBUG] updateTime: 2024-01-01 00:00:00.500000, packets sum: 37500
2024-03-14 16:50:49,879 [DEBUG] updateTime: 2024-01-01 00:00:00.600000, packets sum: 37500
2024-03-14 16:50:49,880 [DEBUG] updateTime: 2024-01-01 00:00:00.700000, packets sum: 37500
2024-03-14 16:50:49,881 [DEBUG] updateTime: 2024-01-01 00:00:00.800000, packets sum: 37500
2024-03-14 16:50:49,882 [DEBUG] updateTime: 2024-01-01 00:00:00.900000, packets sum: 37500
2024-03-14 16:50:49,883 [DEBUG] updateTime: 2024-01-01 00:00:01, packets sum: 37500
2024-03-14 16:50:49,884 [DEBUG] updateTime: 2024-01-01 00:00:01.100000, packets sum: 118752
2024-03-14 16:50:49,885 [DEBUG] updateTime: 2024-01-01 00:00:01.200000, packets sum: 118752
2024-03-14 16:50:49,886 [DEBUG] updateTime: 2024-01-01 00:00:01.300000, packets sum: 118752
2024-03-14 16:50:49,887 [DEBUG] updateTime: 2024-01-01 00:00:01.400000, packets sum: 118752
2024-03-14 16:50:49,889 [DEBUG] updateTime: 2024-01-01 00:00:01.500000, packets sum: 118752
2024-03-14 16:50:49,891 [DEBUG] updateTime: 2024-01-01 00:00:01.600000, packets sum: 118752
2024-03-14 16:50:49,893 [DEBUG] updateTime: 2024-01-01 00:00:01.700000, packets sum: 118752
2024-03-14 16:50:49,895 [DEBUG] updateTime: 2024-01-01 00:00:01.800000, packets sum: 118752
2024-03-14 16:50:49,896 [DEBUG] updateTime: 2024-01-01 00:00:01.900000, packets sum: 118752
2024-03-14 16:50:49,897 [DEBUG] updateTime: 2024-01-01 00:00:02, packets sum: 118752
2024-03-14 16:50:49,897 [DEBUG] updateTime: 2024-01-01 00:00:02.100000, packets sum: 61248
2024-03-14 16:50:49,899 [DEBUG] updateTime: 2024-01-01 00:00:02.200000, packets sum: 61248
2024-03-14 16:50:49,899 [DEBUG] updateTime: 2024-01-01 00:00:02.300000, packets sum: 61248
2024-03-14 16:50:49,899 [DEBUG] updateTime: 2024-01-01 00:00:02.400000, packets sum: 61248
2024-03-14 16:50:49,899 [DEBUG] updateTime: 2024-01-01 00:00:02.500000, packets sum: 61248
2024-03-14 16:50:49,899 [DEBUG] updateTime: 2024-01-01 00:00:02.600000, packets sum: 61248
2024-03-14 16:50:49,908 [DEBUG] updateTime: 2024-01-01 00:00:02.700000, packets sum: 61248
2024-03-14 16:50:49,909 [DEBUG] updateTime: 2024-01-01 00:00:02.800000, packets sum: 61248
2024-03-14 16:50:49,910 [DEBUG] updateTime: 2024-01-01 00:00:02.900000, packets sum: 61248
