2024-02-12 15:36:03,581 [INFO] The choosen switches number is 3 and the network link capacity is 10 Mbps
2024-02-12 15:36:03,582 [INFO] LinkCap in Bytes: 1250000 B
2024-02-12 15:36:03,583 [INFO] Creating links..
2024-02-12 15:36:03,583 [INFO] Links creation done!Links created are:
2024-02-12 15:36:04,685 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 52, trafficPerc: 50
2024-02-12 15:36:04,686 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 52, trafficPerc: 60
2024-02-12 15:36:04,691 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 53, trafficPerc: 10
2024-02-12 15:36:04,696 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 53, trafficPerc: 40
2024-02-12 15:36:04,698 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 53, trafficPerc: 50
2024-02-12 15:36:04,703 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 54, trafficPerc: 20
2024-02-12 15:36:04,703 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 54, trafficPerc: 30
2024-02-12 15:36:04,703 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 54, trafficPerc: 40
2024-02-12 15:36:04,703 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 55, trafficPerc: 10
2024-02-12 15:36:04,703 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 55, trafficPerc: 40
2024-02-12 15:36:04,703 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 55, trafficPerc: 50
2024-02-12 15:36:04,719 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 56, trafficPerc: 0
2024-02-12 15:36:04,731 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 56, trafficPerc: 50
2024-02-12 15:36:04,732 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 56, trafficPerc: 40
2024-02-12 15:36:04,737 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 57, trafficPerc: 0
2024-02-12 15:36:04,738 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 57, trafficPerc: 60
2024-02-12 15:36:04,739 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 57, trafficPerc: 50
2024-02-12 15:36:04,752 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 58, trafficPerc: 0
2024-02-12 15:36:04,753 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 58, trafficPerc: 70
2024-02-12 15:36:04,754 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 58, trafficPerc: 40
2024-02-12 15:36:04,760 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 59, trafficPerc: 10
2024-02-12 15:36:04,763 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 59, trafficPerc: 80
2024-02-12 15:36:04,766 [INFO] Link: 3, endpoints: ['switch2', 'switch3'], sim second: 59, trafficPerc: 50
2024-02-12 15:36:04,781 [INFO] ..packets.yaml file structure done!
2024-02-12 15:36:04,784 [INFO] Writing packets.yaml file..
2024-02-12 15:36:30,505 [INFO] ..packets file creation done!
2024-02-12 15:36:30,505 [INFO] Creating network.yaml file structure..
2024-02-12 15:36:30,505 [INFO] Switches created:
2024-02-12 15:36:30,505 [INFO] {'switchName': 'switch1', 'address': '10.0.0.1'}
2024-02-12 15:36:30,505 [INFO] {'switchName': 'switch2', 'address': '10.0.0.2'}
2024-02-12 15:36:30,505 [INFO] {'switchName': 'switch3', 'address': '10.0.0.3'}
2024-02-12 15:36:30,505 [INFO] ..network.yaml file structure done!
2024-02-12 15:36:30,505 [INFO] Writing network.yaml file..
2024-02-12 15:36:30,531 [INFO] ..network.yaml file creation done!
